STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
704540 25704  19421101    43.3 24    38.7 24  1021.9 24  9999.9  0    9.2 24   12.6 24   35.0  999.9    47.3*   38.3* 99.99  999.9  110000 
704540 25704  19421102    45.3 23    43.2 22   996.6 23  9999.9  0    3.3 23   34.9 23   42.9  999.9    48.4*   41.4* 99.99  999.9  110000 
704540 25704  19421103    42.0 24    36.5 24  1004.1 24  9999.9  0   21.9 24   29.3 24   42.9  999.9    43.3*   40.3* 99.99  999.9  110000 
704540 25704  19421104    46.2 24    44.6 24  1003.1 24  9999.9  0    2.7 24   17.1 24   32.1  999.9    48.4*   43.3* 99.99  999.9  110000 
704540 25704  19421105    42.0 24    37.7 24  1022.6 24  9999.9  0   45.7 24   10.5 24   16.9  999.9    45.3*   39.4* 99.99  999.9  110000 
704540 25704  19421106    43.2 24    40.1 24  1022.6 24  9999.9  0   26.1 24    7.2 24   16.9  999.9    47.3*   39.4* 99.99  999.9  110000 
704540 25704  19421107    44.1 24    41.3 24   997.0 24  9999.9  0   33.1 24    8.5 24   16.9  999.9    47.3*   40.3* 99.99  999.9  010000 
704540 25704  19421108    40.4 24    37.5 24   996.9 24  9999.9  0   37.0 24    7.5 24   22.9  999.9    47.3*   32.4* 99.99  999.9  011000 
704540 25704  19421109    31.6 24    26.4 24  1006.6 24  9999.9  0   36.0 24   16.0 24   29.9  999.9    35.4*   28.4* 99.99  999.9  001000 
704540 25704  19421110    32.1 24    27.7 24  1012.5 24  9999.9  0   53.0 24    3.2 24   15.9  999.9    35.4*   28.9* 99.99  999.9  101000 
704540 25704  19421111    31.3 24    26.9 24  1012.7 24  9999.9  0   88.3 24    0.7 24    5.1  999.9    38.3*   26.4* 99.99  999.9  101000 
704540 25704  19421112    38.1 24    34.0 24   998.4 24  9999.9  0   17.7 24   18.3 23   26.0  999.9    40.3*   34.3* 99.99  999.9  011000 
704540 25704  19421113    38.8 24    33.0 24  1004.5 24  9999.9  0   37.9 24   13.6 24   26.0  999.9    50.4*   36.3* 99.99  999.9  110000 
704540 25704  19421114    34.0 24    28.0 24  1022.4 24  9999.9  0   99.4 24    2.2 24    9.9  999.9    39.4*   30.4*  0.00I 999.9  000000 
704540 25704  19421115    37.9 24    31.9 24  1025.0 24  9999.9  0   95.6 24   17.3 24   26.0  999.9    39.4*   36.3* 99.99  999.9  010000 
704540 25704  19421116    36.1 24    32.5 24  1033.1 24  9999.9  0   99.4 24    6.4 24   22.0  999.9    38.3*   31.3*  0.00I 999.9  000000 
704540 25704  19421117    35.5 24    32.5 24  1035.0 24  9999.9  0   95.6 24    2.5 24    8.9  999.9    40.3*   32.4*  0.00I 999.9  000000 
704540 25704  19421118    39.5 24    31.5 24  1039.5 24  1041.3  4   77.9 24   13.5 24   26.0  999.9    42.4*   38.3* 99.99  999.9  010000 
704540 25704  19421119    37.6 24    29.4 24  1043.3 23  9999.9  0   92.3 24   12.2 24   23.9  999.9    39.0*   35.4* 99.99  999.9  011000 
704540 25704  19421120    31.7 24    21.5 24  1036.9 24  9999.9  0   83.7 24   20.1 24   26.0  999.9    34.3*   28.4* 99.99  999.9  011000 
704540 25704  19421121    33.9 24    25.3 24  1032.2 24  9999.9  0   95.7 24   20.0 24   29.9  999.9    34.3*   32.4* 99.99  999.9  001000 
704540 25704  19421122    34.6 24    27.4 24  1031.1 24  9999.9  0   95.4 24   12.8 24   21.0  999.9    35.4*   34.3* 99.99  999.9  011000 
704540 25704  19421123    35.1 24    30.8 24  1031.4 24  9999.9  0   92.8 24    6.4 24   16.9  999.9    38.3*   32.4* 99.99  999.9  011000 
704540 25704  19421124    35.6 24    33.4 24  1033.8 24  9999.9  0   76.1 24    4.9 24    9.9  999.9    38.3*   33.4* 99.99  999.9  011000 
704540 25704  19421125    37.2 24    32.9 24  1037.0 24  9999.9  0   91.7 24    8.8 24   13.0  999.9    39.4*   35.4* 99.99  999.9  010000 
704540 25704  19421126    34.8 24    29.9 24  1033.5 24  9999.9  0   91.7 24    4.3 24    8.9  999.9    38.3*   30.4* 99.99  999.9  011000 
704540 25704  19421127    35.5 24    29.7 24  1026.8 24  9999.9  0   68.9 24   17.3 24   26.0  999.9    40.3*   33.4* 99.99  999.9  111000 
704540 25704  19421128    34.2 24    29.0 24  1027.2 24  9999.9  0   44.9 24    9.9 24   22.0  999.9    37.4*   32.4* 99.99  999.9  011000 
704540 25704  19421129    36.5 24    32.5 24  1023.3 24  9999.9  0   72.2 24    3.7 24   15.9  999.9    37.4*   35.4* 99.99  999.9  111000 
704540 25704  19421130    34.6 24    29.3 24  1024.2 24  9999.9  0   76.5 24    6.0 24   16.9  999.9    36.3*   32.4*  0.00I 999.9  000000 
704540 25704  19421201    39.5 24    35.4 24  1014.0 24  9999.9  0   31.6 24   12.2 24   26.0  999.9    41.4*   37.4* 99.99  999.9  011000 
704540 25704  19421202    40.2 24    37.1 24  1018.8 24  9999.9  0   72.3 24    7.9 24   19.0  999.9    43.3*   37.4* 99.99  999.9  110000 
704540 25704  19421203    42.3 24    39.5 24  1014.3 24  9999.9  0   41.3 24    5.4 24    9.9  999.9    44.4*   40.3* 99.99  999.9  010000 
704540 25704  19421204    42.0 24    38.3 24  1012.6 24  9999.9  0   67.6 24   12.8 24   22.0  999.9    45.3*   38.3* 99.99  999.9  010000 
704540 25704  19421205    41.2 24    36.7 24  1011.6 24  9999.9  0   61.1 24    9.7 24   26.0  999.9    43.3*   38.3* 99.99  999.9  010000 
704540 25704  19421206    37.9 24    34.1 24  1009.2 24  9999.9  0   25.5 24    7.6 24   22.0  999.9    41.4*   32.4* 99.99  999.9  111000 
704540 25704  19421207    40.0 24    37.8 24   987.8 24  9999.9  0   27.1 24   13.4 24   26.0  999.9    44.4*   36.3* 99.99  999.9  110000 
704540 25704  19421208    32.0 24    25.5 24   997.2 24  9999.9  0   32.6 24   22.5 24   33.0  999.9    38.3*   27.3* 99.99  999.9  111000 
704540 25704  19421209    29.2 24    21.2 24  1010.2 24  9999.9  0   79.7 24   10.2 24   15.9  999.9    32.4*   26.4* 99.99  999.9  001000 
704540 25704  19421210    28.7 24    22.7 24  1005.1 24  9999.9  0   44.0 24    6.8 24   16.9  999.9    33.4*   25.3* 99.99  999.9  001000 
704540 25704  19421211    23.8 24    18.3 24  1007.4 24  9999.9  0   52.1 24    3.0 24    7.0  999.9    30.4*   19.4* 99.99  999.9  101000 
704540 25704  19421212    25.8 23    17.4 23  1009.1 23  9999.9  0   71.1 23    0.1 23    1.9  999.9    30.4*   22.5*  0.00I 999.9  000000 
704540 25704  19421213    34.4 17    26.8 17  1009.3 17  9999.9  0   67.1 17    6.3 17   13.0  999.9    36.3*   33.4* 99.99  999.9  001000 
704540 25704  19421214    38.2  7    32.2  7  1012.1  7  9999.9  0   99.4  7   19.4  7   22.9  999.9    38.3*   37.4* 99.99  999.9  010000 
704540 25704  19421215    39.7 24    33.7 24  1006.4 24  9999.9  0   29.1 24   27.7 24   42.9  999.9    41.4*   38.3* 99.99  999.9  010000 
704540 25704  19421216    39.9 24    37.5 24  1004.7 24  9999.9  0   11.9 24   16.1 24   35.0  999.9    41.4*   38.3* 99.99  999.9  110000 
704540 25704  19421217    37.6 24    33.3 24  1011.6 24  9999.9  0   52.7 24    9.5 24   13.0  999.9    40.3*   36.3* 99.99  999.9  110000 
704540 25704  19421218    33.0 24    26.4 24  1018.5 24  9999.9  0   96.1 24   11.0 24   15.9  999.9    35.4*   31.3* 99.99  999.9  001000 
704540 25704  19421219    31.2 24    21.8 24  1018.2 24  9999.9  0   91.6 24    5.8 24   13.0  999.9    32.4*   29.3* 99.99  999.9  001000 
704540 25704  19421220    31.4 24    23.4 24  1017.0 23  9999.9  0   99.4 24    7.6 24   13.0  999.9    33.4*   27.3* 99.99  999.9  001000 
704540 25704  19421221    33.4 24    25.0 24  1012.9 24  9999.9  0   92.0 24   11.8 24   26.0  999.9    35.4*   25.3* 99.99  999.9  001000 
704540 25704  19421222    35.6 24    31.0 24  1003.9 24  9999.9  0   83.8 24   20.2 24   26.0  999.9    36.3*   34.3* 99.99  999.9  101000 
704540 25704  19421223    35.9 24    33.8 24  1002.5 24  9999.9  0    4.8 24   16.0 24   22.9  999.9    37.4*   34.3* 99.99  999.9  111000 
704540 25704  19421224    37.0 24    35.1 24   997.5 24  9999.9  0    3.9 24   24.3 24   39.0  999.9    38.3*   34.3* 99.99  999.9  110000 
704540 25704  19421225    30.3 24    22.9 24  1014.4 24  9999.9  0   64.0 24   24.3 24   39.0  999.9    34.3*   27.3* 99.99  999.9  101000 
704540 25704  19421226    30.6 24    23.3 24  1025.7 24  9999.9  0   67.8 24    6.6 24   13.0  999.9    31.3*   27.3* 99.99  999.9  001000 
704540 25704  19421227    30.9 24    24.6 24  1018.1 24  9999.9  0   68.5 24    4.2 24    9.9  999.9    35.4*   24.4*  0.00I 999.9  100000 
704540 25704  19421228    35.2 24    32.5 24  1003.7 24  9999.9  0   10.9 24   12.2 24   26.0  999.9    36.3*   34.0* 99.99  999.9  011000 
